TICKER,OFTIC,MEASURE,VALUE,ANNDATS,ACTUAL
AMZN,AMZN,GRM,41.9,2020-05-01,40.6
AMZN,AMZN,GRM,41.2,2020-05-01,40.6
AMZN,AMZN,GRM,42.3,2020-05-01,40.6
AMZN,AMZN,GRM,40.2,2020-05-01,40.6
AMZN,AMZN,GRM,41.1,2020-05-01,40.6
AMZN,AMZN,GRM,41,2020-05-01,40.6
AMZN,AMZN,GRM,40.3,2020-05-01,40.6
AMZN,AMZN,GRM,39,2020-05-01,40.6
AMZN,AMZN,GRM,42,2020-05-01,40.6
AMZN,AMZN,GRM,42,2020-05-01,40.6
AMZN,AMZN,GRM,40.2,2020-05-01,40.6
AMZN,AMZN,GRM,40.5,2020-05-01,40.6
AMZN,AMZN,GRM,40.7,2020-05-01,40.6
AMZN,AMZN,GRM,41,2020-05-01,40.6
AMZN,AMZN,GRM,40.1,2020-05-01,40.6
AMZN,AMZN,GRM,42,2020-05-01,40.6
AMZN,AMZN,GRM,41,2020-05-01,40.6
AMZN,AMZN,GRM,41,2020-05-01,40.6
AMZN,AMZN,GRM,40.67,2020-05-05,40.6
AMZN,AMZN,GRM,40.6,2020-06-10,40.6
AMZN,AMZN,GRM,40.1,2020-06-10,40.6
AMZN,AMZN,GRM,39.5,2020-06-29,40.6
AMZN,AMZN,GRM,39.6,2020-07-15,40.6
AMZN,AMZN,GRM,40.6,2020-07-19,40.6
AMZN,AMZN,GRM,39.7,2020-07-20,40.6
AMZN,AMZN,GRM,40,2020-07-23,40.6
AMZN,AMZN,GRM,39.5,2020-07-26,40.6
AMZN,AMZN,GRM,39.4,2020-07-27,40.6
AMZN,AMZN,GRM,40.8,2020-07-27,40.6
AMZN,AMZN,GRM,43.67,2020-01-30,40.6
AMZN,AMZN,GRM,42.2,2020-01-30,40.6
AMZN,AMZN,GRM,41.5,2020-01-30,40.6
AMZN,AMZN,GRM,39.5,2020-01-30,40.6
AMZN,AMZN,GRM,44,2020-01-30,40.6
AMZN,AMZN,GRM,43.4,2020-01-30,40.6
AMZN,AMZN,GRM,42,2020-01-30,40.6
AMZN,AMZN,GRM,42.2,2020-01-31,40.6
AMZN,AMZN,GRM,42.5,2020-01-31,40.6
AMZN,AMZN,GRM,41.3,2020-01-31,40.6
AMZN,AMZN,GRM,41.8,2020-01-31,40.6
AMZN,AMZN,GRM,42.2,2020-01-31,40.6
AMZN,AMZN,GRM,42.9,2020-01-31,40.6
